Prefecture,Latitude,Longitude,2020,Change_2020,2015,Change_2015,2010,Change_2010,2005,Change_2005,2000,Change_2000,1995,Change_1995,1990,Change_1990,1985,Change_1985,1980,Change_1980,1975,Change_1975,1970,Change_1970,1965,Change_1965,1960,Change_1960,1955,Change_1955,1950
Okayama-ken,34.8581334,133.7759256,"1,888,432",-1.79%,"1,922,181",-1.20%,"1,945,276",-0.62%,"1,957,264",0.33%,"1,950,828",0.00%,"1,950,750",1.28%,"1,925,877",0.47%,"1,916,906",2.39%,"1,871,023",3.03%,"1,814,305",5.91%,"1,707,026",3.63%,"1,645,135",-1.54%,"1,670,454",-1.16%,"1,689,800",1.70%,"1,661,099"
Okinawa-ken,26.5707754,128.0255901,"1,467,480",2.27%,"1,434,138",2.88%,"1,392,818",2.24%,"1,361,594",3.19%,"1,318,220",3.40%,"1,273,440",4.01%,"1,222,398",3.54%,"1,179,097",6.15%,"1,106,559",5.78%,"1,042,572",100.00%,0,0,0,0,0,0,0,0,0
?saka-fu,34.661629,135.4999268,"8,837,685",-0.01%,"8,838,908",-0.30%,"8,865,245",0.54%,"8,817,166",0.14%,"8,805,081",0.09%,"8,797,268",0.71%,"8,734,516",0.76%,"8,668,095",2.25%,"8,473,446",2.30%,"8,278,925",7.95%,"7,620,480",12.64%,"6,657,189",17.31%,"5,504,746",16.10%,"4,618,308",16.48%,"3,857,047"
Saga-ken,33.2185408,130.1296585,"811,442",-2.69%,"833,245",-1.99%,"849,788",-1.95%,"866,369",-1.19%,"876,654",-0.87%,"884,316",0.73%,"877,851",-0.25%,"880,013",1.64%,"865,574",3.22%,"837,674",-0.09%,"838,468",-3.99%,"871,885",-8.14%,"942,874",-3.27%,"973,749",2.94%,"945,082"
Saitama-ken,35.9754168,139.4160114,"7,344,765",1.14%,"7,261,271",0.92%,"7,194,556",1.95%,"7,054,243",1.65%,"6,938,006",2.58%,"6,759,311",5.24%,"6,405,319",8.46%,"5,863,678",7.56%,"5,420,480",11.05%,"4,821,340",19.81%,"3,866,472",22.02%,"3,014,983",19.37%,"2,430,871",6.92%,"2,262,623",5.13%,"2,146,445"
Shiga-ken,35.247154,136.109385,"1,413,610",0.03%,"1,413,184",0.17%,"1,410,777",2.16%,"1,380,361",2.72%,"1,342,832",4.16%,"1,287,005",5.02%,"1,222,411",5.45%,"1,155,844",6.57%,"1,079,898",8.73%,"985,621",9.73%,"889,768",4.09%,"853,385",1.25%,"842,695",-1.31%,"853,734",-0.87%,"861,180"
Shimane-ken,34.9418212,132.537439,"671,126",-3.44%,"694,188",-3.34%,"717,397",-3.46%,"742,223",-2.60%,"761,503",-1.31%,"771,441",-1.24%,"781,021",-1.74%,"794,629",1.24%,"784,795",2.03%,"768,886",-0.61%,"773,575",-6.21%,"821,620",-8.19%,"888,886",-4.52%,"929,066",1.78%,"912,551"
Shizuoka-ken,34.9332488,138.0955398,"3,633,202",-1.87%,"3,701,181",-1.72%,"3,765,007",-0.73%,"3,792,377",0.66%,"3,767,393",0.79%,"3,737,689",1.79%,"3,670,840",2.62%,"3,574,692",3.58%,"3,446,804",4.00%,"3,308,799",6.62%,"3,089,895",5.74%,"2,912,521",5.36%,"2,756,271",3.84%,"2,650,435",6.75%,"2,471,472"
Tochigi-ken,36.6782167,139.8096549,"1,933,146",-2.15%,"1,974,671",-1.67%,"2,007,683",-0.45%,"2,016,631",0.59%,"2,004,817",1.02%,"1,984,390",2.48%,"1,935,168",3.57%,"1,866,066",3.96%,"1,792,201",5.26%,"1,698,003",6.95%,"1,580,021",3.69%,"1,521,656",0.53%,"1,513,624",-2.24%,"1,547,580",-0.19%,"1,550,462"
Tokushima-ken,33.9196418,134.2509634,"719,559",-5.07%,"756,063",-3.89%,"785,491",-3.11%,"809,950",-1.75%,"824,108",-1.01%,"832,427",0.10%,"831,598",-0.40%,"834,889",1.15%,"825,261",2.43%,"805,166",1.75%,"791,111",-3.03%,"815,115",-3.95%,"847,274",-3.64%,"878,109",-0.05%,"878,511"
T?ky?-to,35.6821936,139.762221,"14,047,594",3.80%,"13,513,734",2.62%,"13,159,388",4.43%,"12,576,601",4.08%,"12,064,101",2.41%,"11,773,605",-0.70%,"11,855,563",0.22%,"11,829,363",1.78%,"11,618,281",-0.48%,"11,673,554",2.27%,"11,408,071",4.72%,"10,869,244",10.91%,"9,683,802",17.00%,"8,037,084",21.89%,"6,277,500"
Tottori-ken,35.3555075,133.8678525,"553,407",-3.66%,"573,648",-2.62%,"588,667",-3.12%,"607,012",-1.03%,"613,289",-0.27%,"614,929",-0.13%,"615,722",-0.05%,"616,024",1.92%,"604,221",3.79%,"581,311",2.16%,"568,777",-1.95%,"579,853",-3.33%,"599,135",-2.52%,"614,259",2.29%,"600,177"
Toyama-ken,36.6468015,137.2183531,"1,034,814",-3.10%,"1,066,883",-2.47%,"1,093,247",-1.69%,"1,111,729",-0.82%,"1,120,851",-0.20%,"1,123,125",0.26%,"1,120,161",0.16%,"1,118,369",1.33%,"1,103,459",2.96%,"1,070,791",3.84%,"1,029,695",0.41%,"1,025,465",-0.70%,"1,032,614",1.11%,"1,021,121",1.21%,"1,008,790"
Wakayama-ken,33.8070292,135.5930743,"922,584",-4.47%,"963,850",-3.98%,"1,002,198",-3.37%,"1,035,969",-3.28%,"1,069,912",-0.98%,"1,080,435",0.57%,"1,074,325",-1.20%,"1,087,206",0.02%,"1,087,012",1.37%,"1,072,118",2.74%,"1,042,736",1.51%,"1,026,975",2.41%,"1,002,191",-0.46%,"1,006,819",2.45%,"982,113"
Yamagata-ken,38.4746705,140.083237,"1,068,027",-5.14%,"1,122,957",-4.09%,"1,168,924",-4.04%,"1,216,181",-2.30%,"1,244,147",-1.03%,"1,256,958",-0.11%,"1,258,390",-0.26%,"1,261,662",0.77%,"1,251,917",2.53%,"1,220,302",-0.44%,"1,225,618",-3.06%,"1,263,103",-4.56%,"1,320,664",-2.50%,"1,353,649",-0.27%,"1,357,347"
Yamaguchi-ken,34.2379614,131.5873845,"1,342,059",-4.69%,"1,405,007",-3.30%,"1,451,338",-2.84%,"1,492,606",-2.37%,"1,527,964",-1.80%,"1,555,543",-1.10%,"1,572,616",-1.84%,"1,601,627",0.91%,"1,587,079",2.01%,"1,555,218",2.81%,"1,511,448",-2.13%,"1,543,573",-3.80%,"1,602,207",-0.48%,"1,609,839",4.28%,"1,540,882"
Yamanashi-ken,35.6399328,138.6380495,"809,974",-3.11%,"835,165",-3.34%,"863,075",-2.48%,"884,515",-0.41%,"888,172",0.70%,"881,996",3.29%,"852,966",2.36%,"832,832",3.43%,"804,256",2.64%,"783,050",2.68%,"762,029",-0.15%,"763,194",-2.47%,"782,062",-3.19%,"807,044",-0.54%,"811,369"
